order_id,customer_state,distance_km,seller_delay_d,freight_value,order_value
1,RS,136.8,1,49.96,159.26
2,BA,502.2,3,53.42,186.16
3,BA,207.5,2,19.24,182.31
4,RS,187.4,1,25.09,41.41
5,MG,178.4,0,47.23,201.45
6,BA,390.7,1,7.57,46.82
7,RS,165.7,1,2.61,229.62
8,RJ,363.5,0,16.52,105.77
9,SP,242.3,1,9.72,63.43
10,RJ,227.4,0,28.93,190.32
11,RJ,288.0,2,7.85,81.64
12,RS,237.5,1,17.8,149.15
13,RS,326.2,3,8.78,150.51
14,SP,261.5,1,13.83,58.6
15,MG,411.8,0,10.78,151.23
16,RS,95.1,1,15.25,87.77
17,SP,323.7,1,26.56,293.68
18,BA,315.2,2,27.5,269.1
19,SP,105.6,2,9.46,65.9
20,MG,279.0,1,32.15,94.97
21,RS,294.9,2,5.38,153.22
22,RJ,58.2,2,27.13,35.01
23,RJ,73.1,1,26.42,115.09
24,RJ,233.0,2,29.59,87.47
25,BA,284.3,2,0.38,87.91
26,RJ,44.6,1,4.96,248.56
27,RS,137.7,2,17.51,55.7
28,MG,168.2,0,10.44,98.53
29,MG,202.9,0,20.52,205.96
30,MG,175.8,1,4.72,95.21
31,MG,116.0,0,36.17,153.7
32,MG,282.8,1,4.73,111.72
33,MG,314.9,1,34.32,176.26
34,RS,418.6,0,22.64,177.05
35,RS,108.9,1,0.3,107.8
36,BA,224.4,3,8.07,365.71
37,BA,343.9,1,11.35,160.07
38,BA,404.9,1,8.3,281.63
39,RJ,397.2,3,10.29,120.18
40,RS,75.0,3,15.95,198.42
41,MG,88.2,4,31.42,152.68
42,RJ,225.9,2,5.32,75.44
43,RS,179.3,3,7.87,181.18
44,SP,27.2,2,15.6,207.26
45,RS,760.0,0,16.7,163.2
46,BA,237.2,2,20.25,108.63
47,SP,621.6,0,7.51,186.92
48,SP,253.1,0,26.57,135.07
49,MG,332.0,4,39.73,133.99
50,SP,350.6,0,8.17,162.1
51,SP,247.3,3,22.58,21.09
52,MG,155.0,1,16.34,176.65
53,RS,219.7,4,11.44,118.45
54,MG,552.6,3,41.47,168.84
55,RS,88.7,1,8.77,118.19
56,RS,146.0,0,18.03,55.25
57,RS,237.5,0,74.92,120.47
58,BA,266.0,2,9.69,108.08
59,MG,246.1,3,11.67,130.88
60,MG,38.5,2,3.13,92.6
61,RJ,309.8,0,24.96,141.34
62,MG,89.7,2,26.3,41.04
63,RJ,189.4,1,19.41,90.96
64,RJ,327.7,3,7.79,121.29
65,RS,317.0,2,33.24,167.94
66,SP,458.5,0,13.72,85.6
67,SP,261.9,0,6.49,166.71
68,SP,498.6,3,4.81,57.55
69,RS,120.8,3,24.44,108.68
70,BA,292.0,0,17.68,251.84
71,RS,188.8,1,13.9,99.21
72,RJ,203.6,1,14.99,171.05
73,BA,418.0,2,7.56,496.99
74,RJ,692.3,2,11.57,94.17
75,MG,1081.7,3,11.61,172.33
76,SP,320.7,1,5.04,116.18
77,BA,18.2,0,19.68,128.4
78,RS,267.2,1,31.6,90.76
79,BA,89.0,1,32.9,280.63
80,SP,204.9,2,13.89,228.93
81,MG,192.9,1,41.12,278.34
82,RJ,253.7,2,13.93,21.15
83,RS,407.8,0,13.97,107.73
84,RS,338.8,1,18.7,170.33
85,SP,440.9,1,21.71,58.02
86,MG,90.7,2,28.45,101.87
87,RS,498.0,1,11.73,139.49
88,RS,255.3,1,44.06,110.47
89,BA,244.7,0,8.06,206.87
90,BA,193.8,1,43.69,57.69
91,SP,719.3,1,43.72,113.39
92,BA,161.5,2,27.69,188.65
93,MG,148.4,0,9.23,165.88
94,SP,369.6,1,6.22,125.41
95,RJ,247.7,3,11.34,79.58
96,MG,111.2,3,12.48,136.96
97,BA,299.0,1,12.58,212.42
98,MG,145.1,2,15.17,203.77
99,BA,394.6,1,8.2,45.21
100,RS,88.4,0,30.2,156.54
101,BA,255.1,2,21.98,122.62
102,RJ,226.4,3,17.81,36.9
103,BA,417.5,2,13.74,155.73
104,MG,244.0,0,25.71,23.03
105,SP,330.4,4,4.66,165.35
106,SP,249.0,1,3.43,156.2
107,BA,195.4,0,4.97,50.74
108,RJ,120.9,2,2.75,207.59
109,MG,311.9,0,8.6,47.96
110,RJ,248.3,2,3.05,50.2
111,RJ,491.7,0,3.13,51.91
112,SP,161.2,2,6.58,188.39
113,RJ,259.6,4,7.15,154.43
114,RS,316.7,2,12.95,193.64
115,MG,176.0,1,3.73,121.07
116,RJ,199.8,1,14.01,206.39
117,MG,206.7,0,8.02,89.44
118,RS,306.8,0,31.3,94.95
119,RJ,576.3,2,23.88,46.37
120,MG,328.0,1,14.23,36.32
